,label,sentence,translate_result
54,3,Who is Snoopy 's arch-enemy ?,Who's Snoopy with the arch enemy?
55,0,What is the nature of learning ?,What is the nature of learning?
56,1,What 's the only color Johnny Cash wears on stage ?,What's the only color Johnny Cash wears on stage?
57,1,What 's the term for a young fox ?,What's the name of a young fox?
58,4,What U.S. state lived under six flags ?,Which U.S. state lived under six flags?
59,0,What is the Kashmir issue ?,What's the cashmere problem?
60,4,Where is the Loop ?,Where's the loop?
61,0,What does `` extended definition '' mean and how would one write a paper on it ?,"What does ""extended definition"" mean and how would you write a paper on it?"
62,4,What country 's capital is Tirana ?,Which capital is Tirana?
63,0,What is titanium ?,What is Titan?
64,3,Who do Herb and Tootsie live next door to ?,Where do Herb and Tootsie live next door?
65,4,Which city has the oldest relationship as a sistercity with Los Angeles ?,What city has the oldest relationship as a sisterhood with Los Angeles?
66,0,What is a caldera ?,What is a Caldera?
67,0,Why do people get calluses ?,Why do people get calluses?
68,4,What are the names of the tourist attractions in Reims ?,What are the names of the tourist attractions in Reims?
69,0,What are Cushman and Wakefield known for ?,What are Cushman and Wakefield known for?
70,4,What body of water does the Danube River flow into ?,Which waters does the Danube flow into?
71,3,Who is the founder of Scientology ?,Who is the founder of Scientology?
72,1,What does the six-footed Musca domestica become when it enters a house ?,What happens to the six -foot Musca Domestica when it comes to a house?
73,0,What is the history of skateboarding ?,What's the story with the skateboard?
74,3,Who starred in Singing in the Rain and The Singing Nun ?,Who played in Singing in the Rain and The Singing Nun?
75,0,How do I make fuel bricks from recycled newspaper ?,How do I make fuel stones out of recycled paper?
76,3,What 19th-century painter died in the Marquesas Islands ?,What painter died on the Marquesas Islands?
77,1,The corpus callosum is in what part of the body ?,The corpus callosum is in what part of the body?
78,0,How do I log on to home page at Headquarters U.S. European Command ?,How do I log on to the main page of the U.S. command?
79,4,"What country did the Nazis occupy for 1 , CD NNS IN NNP NNP NNP .","Which country do the Nazis have for 1, CD NNS IN NNP NNP NNP NNP."
80,1,What is Nebraska 's most valuable resource ?,What is Nebraska's most valuable resource?
81,5,How many species of the Great White shark are there ?,How many species of white shark are there?
82,0,What is the origin of head lice ?,What is the origin of head lice?
83,4,What is the nickname for the state of Mississippi ?,What's the nickname for the state of Mississippi?
84,1,What was the first domesticated bird ?,What was the first domesticated bird?
85,5,How many villi are found in the small intestine ?,How many sugars are there in the small intestine?
86,4,What country did King Wenceslas rule ?,Which country ruled King Wenceslas?
87,1,What is a fear of shadows ?,What's a fear of shadows?
88,3,Who were the five Marx brothers ?,Who were the five Marx brothers?
89,5,In which year was New Zealand excluded from the ANZUS alliance ?,In what year was New Zealand excluded from the ANZUS alliance?
90,5,When did CNN begin broadcasting ?,When did CNN start broadcasting?
91,0,What causes the body to shiver in cold temperatures ?,What makes the body shiver at cold temperatures?
92,0,What are bear and bull markets ?,What are bear and bull markets?
93,1,What J.R.R. Tolkien book features Bilbo Baggins as the central character ?,What J.R.R. Tolkien book shows Bilbo Baggins as the central character?
94,0,What is `` dew point '' ?,What is baptism?
95,0,What is the meaning of Jesus ?,What is the meaning of Jesus?
96,3,What company 's logo is a `` W '' in a circle ?,"Which company logo is a ""W"" in a circle?"
97,0,What is the definition of a cascade ?,What is the definition of a cascade?
98,5,When did Rococo painting and architecture flourish ?,When did Rokoko's painting and architecture develop?
99,4,What country 's national passenger rail system is called Via ?,Which national passenger rail system in the country is Via?
100,3,Who invented Make-up ?,Who invented make -up?
101,0,What is the origin of the word `` attic '' ?,What is the origin of the word'attic'?
102,0,What did Delilah do to Samson 's hair ?,What did Delilah do with Samson's hair?
103,1,What kind of animals were in the Paleozoic era ?,What kind of animals were in the Paleozoic era?
104,3,Which of the following was Rhodes Scholar ?,Which one was Rhodes Scholar?
105,3,Who comprised the now-defunct comic book team known as the Champions ?,Who was made up of the now non -existent comic team known as the champions?
106,0,How do you make a paintball ?,How do you make a paintball?
107,4,What U.S. state is Fort Knox in ?,What state is Fort Knox in?
108,1,What is a female rabbit called ?,What's the name of a female rabbit?
109,4,Where is the highest point in Japan ?,Where is the highest point in Japan?
110,0,Where do chihuahuas come from ?,Where do Chihuahuas come from?
111,4,Where does Barney Rubble go to work after he drops Fred off in the `` Flintstones '' cartoon series ?,"Where does Barney Rubble go to work after dropping Fred off in the ""Flintstones"" cartoon series?"
112,4,What are the world 's four oceans ?,What are the four oceans of the world?
113,1,What 's the only work by Michelangelo that bears his signature ?,What is the only work by Michelangelo that bears his signature?
114,1,What is the largest snake in the world ?,What's the biggest snake in the world?
115,1,In what medium is Stuart Hamblen considered to be the first singing cowboy ?,In what medium is Stuart Hammlen considered the first singing cowboy?
116,4,Where on the Internet can I find a song lyrics database similar to the International Lyrics Server ?,Where on the Internet can I find a song database similar to the International Lyrics server?
117,5,How much money does a back injury lawsuit get ?,How much money does a back injury charge get?
118,1,What 's the common name for acetylsalicylic acid ?,What is the usual name for acetylsalicylic acid?
119,0,What does the Georgetown `` Hoya '' mean ?,What does Georgetown Hoya mean?
120,4,Where can I find a list of `` classic '' books 5th and 6th graders should read ?,"Where can I find a list of the ""classic"" books that the fifth and sixth graders should read?"
121,1,Which two products use a tiger as their symbol ?,What products use a tiger as a symbol?
122,0,How is the election of a new Pope announced to the world ?,How is the election of a new Pope announced to the world?
123,5,How long does it take for your blood to make one complete trip through the body ?,How long before your blood makes a complete journey through the body?
124,0,How do chickens have baby chicks ?,How do chickens get chickens?
125,0,What is the historical relationship of Catholic Church and bingo ?,What is the historical relationship between the Catholic Church and Bingo?
126,0,How was the element calcium named ?,What was the name of the element calcium?
127,3,What crooner joined The Andrews Sisters for Pistol Packin Mama ?,Which choir boy joined the Andrews Sisters for Pistol Packin Mama?
128,3,What piano company claims its product is the `` Instrument of the immortals '' ?,What piano company claims that its product is the instrument of the immortals?
129,5,When did the Bounty mutiny take place ?,When did the Bounty mutiny take place?
130,1,What novel inspired the movie BladeRunner ?,Which novel inspired the film BladeRunner?
131,0,What is a transistor ?,What is a transistor?
132,1,What is a film starring Jude Law ?,What's a Jude Law movie?
133,1,What Hollywood dog died in the arms of Jean Harlow in 1932 ?,What Hollywood dog died in the arms of Jean Harlow in 1932?
134,1,What are the most common elements in the Earth 's crust ?,What are the most common elements in the Earth's crust?
135,5,"How much would it cost to purchase a 2-foot-square party tent , with sides , ?",How much would it cost to buy a 2 -foot quadratic party world with pages?
136,3,What actress has received the most Oscar nominations ?,Which actress has received most Oscar nominations?
137,0,What are equity securities ?,What are equity securities?
138,0,What is gymnophobia ?,What is Gymnophobia?
139,5,How many years do fossils take to form ?,How many years do fossils form?
140,4,Where is the Orinoco ?,Where is the Orinoco?
141,1,What was the name of the `` Little Rascals '' dog ?,"What was the name of the ""Little Rascals"" dog?"
142,4,"What city boasts Penn 's Landing , on the banks of the Delaware river ?",What city boasts Penn's Landing on the banks of Delaware?
143,1,What Broadway musical was inspired by Cervantes 's Don Quixote ?,Which Broadway musical was inspired by Cervantes's Don Quixote?
144,0,"What is the origin of the word , JJ .","What is the origin of the word, JJ?"
145,5,How many hostages were killed in the Entebbe raid ?,How many hostages were killed at the Entebbe?
146,0,How you can raise your IQ ?,How can you raise your IQ?
147,2,What does INRI stand for when used on Jesus ' cross ?,What does INRI stand for when it is used on Jesus' Cross?
148,3,Who produces Spumante ?,Who produces Spumante?
149,3,Who earns their money the hard way ?,Who makes their money on the hard road?
150,3,Who founded the People 's Temple Commune ?,Who founded the People's Temple Commune?
151,3,What athlete makes the most money from sports merchandise sales ?,Which athlete makes the most money selling sports goods?
152,5,How many bends are there in a standard paper clip ?,How many curves are there in a standard office clamp?
153,3,Who discovered electricity ?,Who discovered electricity?
154,1,What part of your body contains the corpus callosum ?,What part of your body does the corpus callosum contain?
155,3,Who was the first American in space ?,Who was the first American in space?
156,4,What two South American countries do n't border Brazil ?,What two South American countries do not border Brazil?
157,1,What album put The Beatles on the cover of Time in 1967 ?,What album did The Beatles put on the cover of Time in 1967?
158,1,"What poem contains the line , `` grow old with me the best is yet to be '' .","What kind of poem contains the line ````````getting old with me, the best is still'''''."
159,0,What is a dental root canal ?,What is a root canal?
160,1,What war did the Wanna-Go-Home Riots occur after ?,What war did the Wanna -Go -Home riots after?
161,5,What is the busiest air travel season ?,What's the busiest flight season?
162,1,What 's the colored part of the eye called ?,What's the color part of the eye called?
163,0,What are hook worms ?,What are crocodiles?
164,4,Where is the Rose Bowl played ?,Where is the Rose Bowl played?
165,3,Which Japanese car maker had its biggest percentage of sale in the domestic market ?,Which Japanese car manufacturer had the largest share of domestic sales?
166,3,Who is the mayor of Marbella ?,Who's the mayor of Marbella?
167,4,"What sun-blasted , 14-mile wide valley is just north of the Mojave desert ?","What sunburned, 14 -mile valley is north of the Mojave Desert?"
168,5,In what year did Thatcher become prime minister ?,What year did Thatcher become Prime Minister?
169,5,How many months does it take the moon to revolve around the Earth ?,How many months does the moon take to turn around the Earth?
170,4,Where are the 49 steps ?,Where are the 49th steps?
171,5,In what year was De Gaulle elected president of France ?,In what year was De Gaulle elected President of France?
172,3,Who sings the themes for `` Dawson 's Creek '' and `` Felicity '' ?,Who sings the themes for Dawson's Creek and Felicity?
173,3,Who directed `` Jaws '' ?,"Who directed ""Jaws""?"
174,1,On what T.V. show could Tom Terrific be found ?,On what T.V. show could Tom Terrific be found?
175,3,What Indian tribe is F Troop perpetually doing battle with ?,What Indian tribe fights F -Troop all the time?
176,0,Where did Indian Pudding come from ?,Where did the Indian pudding come from?
177,0,Why do some clothing labels say `` Use a nonchlorine bleach '' ?,"Why do some clothing labels say ""Use a chlorine -free sheet""?"
178,5,How many colonies were involved in the American Revolution ?,How many colonies were involved in the American Revolution?
179,4,What is the name of the city that Maurizio Pellegrin lives in ?,What is the name of the city where Maurizio Pellegrin lives?
180,4,Where can I find pictorial directions on how to build a very simple treehouse ?,Where can I find pictures of how to build a very simple tree house?
181,1,"What game 's board shows the territories of Irkutsk , Yakutsk and Kamchatka ?","Which board shows the areas Irkutsk, Yakutsk and Kamchatka?"
182,3,What is the name of the managing director of Apricot Computer ?,What's the name of the CEO of Apricot Computer?
183,3,What is the occupation of Nicholas Cage ?,What is the occupation of Nicholas Cage?
184,0,Why do horseshoes bring luck ?,Why do Hufeisen bring happiness?
185,0,"What is the 401 , K , plan ?","What's the 401, K, plan?"
186,0,What causes pneumonia ?,What causes pneumonia?
187,5,What are the three winter months in the southern hemisphere ?,What are the three winter months in the southern hemisphere?
188,0,What does gringo mean ?,What does Gringo mean?
189,4,What country contains Africa 's northernmost point ?,Which country contains the northernmost point of Africa?
190,1,What therapy attempts to elicit the `` primal scream '' ?,"What therapy is trying to trigger the ""scream""?"
191,4,Where is the Kalahari desert ?,Where is the Kalahari Desert?
192,3,Which Ventura County police department seized the largest cocaine shipment in it 's history ?,Which Ventura County Police Department has seized the largest cocaine shipment in history?
193,4,What city is sometimes called Gotham ?,What city is sometimes called Gotham?
194,1,What dangles over the tongue from the palate ?,What hangs over your tongue from your palate?
195,3,Who created Dennis the Menace ?,Who created Dennis the Menace?
196,3,What dummy received an honorary degree from Northwestern University ?,Which dummy graduated from Northwestern University?
197,5,When was the first Wall Street Journal published ?,When was the first Wall Street Journal published?
198,4,What countries have the largest areas of forest ?,Which countries have the largest forest areas?
199,0,How do I start a web based business ?,How do I start a web -based business?
200,3,Name Alvin 's brothers,Name Alvin's Brothers
201,0,What is Eagle 's syndrome styloid process ?,What is Eagle's Syndrome styloid process?
202,0,How did Jayne Mansfield die ?,How did Jayne Mansfield die?
203,5,When did the royal wedding of Prince Andrew and Fergie take place ?,When did the royal wedding of Prince Andrew and Fergie take place?
204,3,What actor said in A Day at the Races : `` Either he 's dead or my watch has stopped '' ?,"Which actor in A Day at the Races said, ""Either he's dead, or my watch has stopped""?"
205,3,What explorer was nicknamed Iberia 's Pilot ?,What researcher was Iberia's pilot?
206,5,CNN began broadcasting in what year ?,CNN started broadcasting in what year?
207,1,What is a ball that hits the foul pole called ?,What is a ball that hits the foul pole called?
208,0,What makes hamburgers taste like steakburgers ?,What does hamburger like steak burger do?
209,3,Which company created the Internet browser Mosaic ?,Which company has the Internet browser Mosaic?
210,1,What are the rites accompanying the circumcision of a newly born-child in Judaism called ?,What rituals accompany the circumcision of a newborn child in Judaism?
211,1,What was the education system in the 1960 's ?,What was the education system in the 1960s?
212,4,What South American city has the world 's highest commercial landing field ?,Which city in South America has the highest commercial field in the world?
213,0,How can I find out which cities have cable-modem access ?,How can I find out which cities have cable modem access?
214,0,What is Betsy Ross famous for ?,What's Betsy Ross famous for?
215,5,How many species of sharks are there ?,How many sharks are there?
216,0,What is `` snoogans '' ?,What's Snoogans?
217,5,How many people are there in the world ?,How many people are there in the world?
218,1,What shrubs can be planted that will be safe from deer ?,Which bushes can be planted that are safe from deer?
219,3,What organization 's offices were broken into at Watergate in 1972 ?,What organization was broken into in Watergate in 1972?
220,0,What is the design of the ship Titanic ?,What is the design of the ship Titanic?
221,2,What does S.O.S. stand for ?,What does S.O.S. mean?
222,1,Name a technique widely used to detect birth defects ?,Are you referring to a technique widely used to detect birth defects?
223,0,What is the daily requirement of folic acid for an expectant mother ?,What is the daily need for folic acid for a mother -to -be?
224,0,What is the `` 7-minute cigarette '' ?,What's the seven -minute cigarette?
225,1,What four forms does gold occur in ?,In what four forms does gold appear?
226,5,What is the acreage of the Chappellet vineyard ?,What is the area of Chappellet Weinberg?
227,0,How do you correctly say the word ` qigong ' ?,"How do you say the word ""qigong""?"
228,5,When did beethoven die ?,When did Beethoven die?
229,5,How much does a new railroad coal car cost ?,How much does a new railway vehicle cost?
230,4,What two European countries entered the War of American Independence against the British ?,Which two European countries have entered the war of American independence against the British?
231,0,What is the filmmakers collabrative ?,What are the filmmakers collaborative about?
232,3,What Russian composer 's Prelude in C Sharp Minor brought him fame and fortune ?,Which Russian composer's Prelude in C Sharp Minor brought him fame and fortune?
233,0,What caused Harry Houdini 's death ?,What caused Harry Houdini's death?
234,3,"Who was the mother of the man who would not be king , the duke of Windsor ?","Who was the mother of the man who would not be king, the Duke of Windsor?"
235,5,How many revolutions does a standard LP make in three minutes ?,How many revolutions does a standard LP make in three minutes?
236,4,What is the name of the tallest mountain in the world ?,What's the name of the highest mountain in the world?
237,4,Where can I find a review of Nightmare on Elm Street in a film journal ?,Where can I find a review of Nightmare on Elm Street in a film journal?
238,1,What 's the slowest Olympic swimming stroke ?,What is the slowest Olympic swim strike?
239,3,What was the name of the first Russian astronaut to do a spacewalk ?,What was the name of the first Russian astronaut to take a space walk?
240,1,What disease is transmitted by the Anopheles mosquito ?,What disease is transmitted by the Anopheles mosquito?
241,1,What rum is so `` mixable '' it is a one-brand bar ?,"What kind of rum is so ""mixable"" this is a one -time bar?"
242,5,How many South American countries have the letter Z in their names ?,How many South American countries have the letter Z in their names?
243,0,What is the contents of proposition 98 ?,What is the content of sentence 98?
244,4,Where was George Washington born ?,Where was George Washington born?
245,5,"How many people on the ground were killed from the bombing of Pan Am Flight 103 over Lockerbie , Scotland , December 21 , CD .","How many people were there from the bombing of Pan Am flight 103 via Lockerbie, Scotland, December 21, CD."
246,3,Who wrote NN DT NNP NNP '' ?,Who wrote NN DT NNP NNP'?
247,0,What is paracetamol ?,What is Paracetamol?
248,0,What are the powers and weaknesses of Green Lantern 's ring ?,What are the strengths and weaknesses of the Green Lantern ring?
249,1,"Which mosquito 's bite draws blood , DT NN CC DT NN .","Which mosquito bites blood, DT NN CC DT NN."
250,5,When was the first steel mill in the United States built ?,When was the first steel plant built in the USA?
251,3,What diminutive American female gymnast stole the show at the 1984 Olympics ?,What little American gymnast stole the show at the 1984 Olympics?
252,0,What is the origin of the name Katie ?,What's the origin of the name Katie?
253,3,"What schools in the Washington , DC NN NN VBP NN NN NN NN .","What schools in Washington, DC NN NN VBP NN NN NN NN NN."
254,5,When did the Berlin Wall go up ?,When did the Berlin Wall come up?
255,3,Who is Terrence Malick ?,Who's Terrence Malick?
256,1,What instrument is Ray Charles best known for playing ?,Which instrument is Ray Charles best known for playing?
257,0,"What 's the meaning of the Latin battle cry : Ad arma , ad arma .","What is the meaning of the Latin battle cry: Ad arma, ad arma."
258,1,What is the mascot for Notre Dame University ?,What is the mascot of Notre Dame University?
259,4,"What Las Vegas hotel burned in November , 1980 , with the loss of 84 lives ?","Which hotel in Las Vegas burned in November, 1980's, with the loss of 84 lives?"
260,5,When did Mount St. Helen last have a significant eruption ?,When was the last time Mount St. Helen had a significant outbreak?
261,2,CNN is the abbreviation for what ?,CNN is short for what?
262,5,When did World War I start ?,When did the First World War start?
263,5,How many feet are there in a fathom ?,How many feet are there in a fathom?
264,0,What is a Canada two-penny black ?,What's a Canada two pennies black?
265,4,What European city do Nicois live in ?,What European city does Nikois live in?
266,0,How can I find out what year a Beanie Baby was introduced ?,How can I find out what year a Beanie baby was introduced?
267,0,What is the classic definition of tragic hero ?,What is the classic definition of the tragic hero?
268,1,To what does Microsoft 's Windows 3 owe its success ?,What makes Microsoft's Windows 3 a success?
269,3,Who was President of Afghanistan in 1994 ?,Who was the President of Afghanistan in the 1994?
270,1,"What are other ways of getting stretch marks besides pregnancy , weight loss , and weight lifting ?","What are other ways, stretching strips other than pregnancy, weight loss and weight loss?"
271,1,What did brontosauruses eat ?,What did the brontosaurus eat?
272,1,What color bottles do good Rhine wines come in ?,What colour do good Rhine wines come in?
273,3,Who was the lead actress in the movie ` Sleepless in Seattle ' ?,Who was the leading actress in the movie Sleeplessness in Seattle?
274,3,Who was the 16th President of the United States ?,Who was the 16th President of the United States?
275,3,Who are the two sons of Ozzie and Harriet Nelson ?,Who are the two sons of Ozzie and Harriet Nelson?
276,0,What is molybdenum ?,What is Molybdenum?
277,5,When is Boxing Day ?,When's boxing day?
278,1,What is the lowest level of the American judiciary ?,What is the lowest level of American justice?
279,5,When was the battle of the Somme fought ?,When was the battle of the Somme?
280,5,How many people did Randy Craft kill ?,How many people did Randy Craft kill?
281,1,What 's the official animal of Canada ?,What is Canada's official animal?
282,5,When did Spielberg direct `` Jaws '' ?,"When did Spielberg direct ""Jaws""?"
283,5,What is the size of the largest akita ?,How big is the biggest Akita?
284,1,What animal has the biggest eyes ?,Which animal has the biggest eyes?
285,4,What is California 's capital ?,What is the capital of California?
286,3,Who was the author of the book about computer hackers called `` The Cuckoo 's Egg : Tracking a Spy Through the Maze of Computer Espionage '' ?,Who was the author of the book on computer hackers called ``The Egg of Cock': A Spy through the Labyrinth of Computer Spying''?
287,3,Who was the founding member of the Pink Floyd band ?,Who was the founding member of the Pink Floyd band?
288,4,What European country is home to the beer-producing city of Budweis ?,Which European country is the home of the beer -producing city of Budweis?
289,0,How do I find the balance of my social security account ?,How do I balance my social security account?
290,0,What is the history of Valentine 's Day cards ?,What's the story with the Valentine's Day cards?
291,4,Where was Christopher Columbus born ?,Where was Christopher Columbus born?
292,1,What do Italians call Florence ?,What do Italians call Florence?
293,0,How do you get to the top of the Eiffel Tower ?,How do you get to the top of the Eiffel Tower?
294,2,What does ` PSI ' stand for ?,"What does ""PSI"" mean for?"
295,4,What sea did the Romans call mare nostrum ?,What sea did the Romans call Stute nostrum?
296,1,What 's the term for a bet before cards are dealt ?,What is the term for a bet before cards are dealt?
297,1,"Which came first , according to Genesis 1 : 2 : 22 - the chicken or the egg ?","What came first, after Genesis 1: 2: 22 - the chicken or the egg?"
298,4,What city did the Flintstones live in ?,What city did the Flintstones live in?
299,1,What is Latin for incompetent ?,What kind of Latin is incompetent?
300,1,What chemicals are used in lethal injection ?,What chemicals are used for the lethal injection?
301,3,What toy company is the world 's No.1 maker of female apparel ?,Which toy company is the worldwide No.1 manufacturer of women's clothing?
302,1,What board game does a `` wood-pusher '' play poorly ?,What board game does a ````````wood dealer''play badly?
303,3,Which Doonesbury character was likely to turn into a werewolf ?,What Doonesbury character could turn into a werewolf?
304,2,What is the abbreviation for micro ?,What is the abbreviation for micro?
305,1,What are the 7 articles of the constitution ?,What are the seven articles of the Constitution?
306,3,Who has won the most Super Bowls ?,Who won the most Super Bowls?
307,2,What does NASDAQ stand for ?,What does NASDAQ mean?
308,2,What is BPH ?,What is BPH?
309,1,What is the fastest commercial automobile that can be bought in the US ?,What is the fastest commercial car you can buy in the USA?
310,4,What stadium do the Miami Dolphins play their home games in ?,In which stadium do the Miami Dolphins play their home games?
311,3,Who has the only speaking role in `` Silent Movie '' ?,Who's the only speaker in Silent Movie?
312,0,Why is poop sometimes different colors ?,Why is poop sometimes in different colors?
313,5,What was Einstein 's IQ ?,What was Einstein's IQ?
314,5,What day was Pearl Harbor attacked in 1942 ?,On what day was Pearl Harbor attacked in 1942?
315,3,What girl 's name is `` Teddy '' an affectionate form of ?,"What kind of girl does ""Teddy"" mean a loving form of?"
316,4,What state is John F. Kennedy buried in ?,What condition is John F. Kennedy buried in?
317,1,What is the best way to remove wallpaper ?,What is the best way to remove wallpaper?
318,4,What U.S. state has an element named for it ?,Which U.S. state has an element named after it?
319,3,What company tabulates the ballots in voting for the Academy Awards ?,Which company tables the ballots for the Academy Awards?
320,0,How did the tradition of best man start ?,How did the tradition of the best man begin?
321,5,How many years ago did the ship Titanic sink ?,How many years ago did the ship Titanic sink?
322,4,What is the deepest area of the Arctic Ocean ?,What is the deepest area of the Arctic Ocean?
323,1,What are Halloween 's colors ?,What are the colors of Halloween?
324,0,How is silk screening done ?,How is the seventh of silk done?
325,5,"What is the latitude and longitude of El Paso , Texas ?","What is the latitude and longitude of El Paso, Texas?"
326,3,Who made a boat out of gopher wood ?,Who built a boat out of strawberry?
327,4,Where can I find a `` Fifth Element '' screensaver ?,"Where can I find a ""Fifth Element"" screen saver?"
328,3,Which Bloom County resident wreaks havoc with a computer ?,Which Bloom County resident destroys a computer?
329,0,How do you match a name to a social security number ?,How do you match a name to a social security number?
330,0,How does a rainbow form ?,How does a rainbow come about?
331,5,What is the normal resting heart rate of a healthy adult ?,How high is the normal heart rate of a healthy adult?
332,5,What is the population of Ohio ?,What is the population of Ohio?
333,5,How many calories are there in a Big Mac ?,How many calories are there in a Big Mac?
334,0,Hazmat stands for what ?,Hazmat stands for what?
335,1,What creature scares people in the film `` Jaws '' ?,"What creature frightens people in the movie ""Jaws""?"
336,3,What part did John Peter Zenger play in the deveopment of the newspaper in America ?,What role did John Peter Zenger play in the development of the newspaper in America?
337,3,Who followed Caesar ?,Who followed Caesar?
338,1,What are the four elements ?,What are the four elements?
339,3,Who was the first woman golfer to earn a million ?,Who was the first golfer to make a million dollars?
340,1,What 's the tallest piece on a chessboard ?,What's the highest piece on a chessboard?
341,4,What is Answers.com 's address ?,What is the address of Antworten.com?
342,4,Where can I buy movies on videotape online ?,Where can I buy movies online?
343,3,Who does the advertizing for Frito-Lay ?,Who advertises for Frito -Lay?
344,3,Who is the leading competitor of Trans Union Company ?,Who is the leading competitor of Trans Union Company?
345,1,What product did Robert Conrad dare people to knock off his shoulder ?,What product did Robert Conrad dare people to pat him on the back?
346,3,Who invented the radio ?,Who invented the radio?
347,5,What 's the American dollar equivalent for 8 pounds in the U.K. ?,What is the American dollar equivalent for eight pounds in the UK?
348,1,What are the different approaches of systems analysis ?,What are the different approaches of system analysis?
349,0,How do doctors diagnose bone cancer ?,How do doctors diagnose bone cancer?
350,3,Who is the man behind the pig-the man who pulls the strings and speaks for Miss Piggy ?,Who's the man behind the pig who pulls the strings and speaks for Miss Piggy?
351,5,What is the speed of the Mississippi River ?,What's the speed of the Mississippi?
352,1,What are the developmental stages of a swimmer ?,What are the development stages of a swimmer?
353,3,What actor first portrayed James Bond ?,Which actor did James Bond portray first?
354,4,What ocean is the largest in the world ?,Which ocean is the largest in the world?
