,label,sentence,translate_result
24,0,lacks the inspiration of the original and has a bloated plot that stretches the running time about 10 minutes past a child 's interest and an adult 's patience .,lacks the inspiration of the original and has an inflated act that extends the duration of about ten minutes behind the interest of a child and the patience of an adult.
25,1,the santa clause 2 proves itself a more streamlined and thought out encounter than the original could ever have hoped to be .,The Santa clause 2 is proving to be a more rational and thoughtful encounter than the original had ever hoped.
26,1,"the film is moody , oozing , chilling and heart-warming all at once ... a twisting , unpredictable , cat-and-mouse thriller .","The film is moody, gloomy, cool and heartwarming at once.a twist, unpredictable, cat and mouse thriller."
27,0,too bad .,Too bad.
28,1,"a strong first act and absolutely , inescapably gorgeous , skyscraper-trapeze motion of the amazing spider-man .","a strong first act and absolutely, inevitably gorgeous, skyscraper -trapeze movement of the amazing spider man."
29,0,gooding offers a desperately ingratiating performance .,gooding offers a desperately intrusive performance.
30,0,a well-intentioned effort that 's still too burdened by the actor 's offbeat sensibilities for the earnest emotional core to emerge with any degree of accessibility .,A benevolent effort that is still too heavily burdened by the actor's abilities for the serious emotional core to arise with any degree of accessibility.
31,1,a fun ride .,a fun ride.
32,1,an edgy thriller that delivers a surprising punch .,an exciting thriller that strikes a surprising blow.
33,1,` what 's the russian word for wow !? ',What's the Russian word for wow? What?
34,1,otto-sallies has a real filmmaker 's eye .,Eight sallies has a real filmmaker's eye.
35,0,lurid and less than lucid work .,lurid and less than lucid work.
36,0,with its parade of almost perpetually wasted characters ... margarita feels like a hazy high that takes too long to shake .,with its parade of almost always wasted characters...Margarita feels like a foggy high that takes too long to shake.
37,0,"i could just feel the screenwriter at every moment ` tap , tap , tap , tap , tapping away ' on this screenplay .","I could just feel the writer typing, typing, typing, typing, typing on this script at any moment."
38,1,"overall , cletis tout is a winning comedy that excites the imagination and tickles the funny bone .","Overall, cletis tout is a winning comedy that stimulates imagination and tickles the funny bone."
39,1,you live the mood rather than savour the story .,They live the mood instead of enjoying the story.
40,1,the movie is so thoughtlessly assembled .,The film is so thoughtless.
41,1,"some body is a shaky , uncertain film that nevertheless touches a few raw nerves .","Some body is a shaky, uncertain film that nevertheless touches some raw nerves."
42,1,"it 's a very sincere work , but it would be better as a diary or documentary .","It's a very honest job, but it would be better than a diary or a documentary."
43,0,"while american adobo has its heart -lrb- and its palate -rrb- in the right place , its brain is a little scattered -- ditsy , even .","While the American Adobo has his heart and his palate in the right place, his brain is a little scattered, even..."
44,1,"unfolds with such a wallop of you-are-there immediacy that when the bullets start to fly , your first instinct is to duck .","unfolds with such a wallop of you -are immediately that when the bullets begin to fly, your first instinct is to duck."
45,0,and it 's a lousy one at that .,And there's a lousy one.
46,1,it 's not too fast and not too slow .,It's not too fast and it's not too slow.
47,1,"it 's an entertaining movie , and the effects , boosted to the size of a downtown hotel , will all but take you to outer space .","It is an entertaining movie, and the effects that are raised to the size of a downtown hotel will lead you all except into space."
48,1,"it is as uncompromising as it is nonjudgmental , and makes clear that a prostitute can be as lonely and needy as any of the clients .","It is as uncompromising as it is not judgmental, and makes it clear that a prostitute can be as lonely and needy as any of the customers."
49,1,compellingly watchable .,competently observable.
50,0,"despite some comic sparks , welcome to collinwood never catches fire .","Despite some comic sparks, welcome to Collinwood never catches fire."
51,1,"though jackson does n't always succeed in integrating the characters in the foreground into the extraordinarily rich landscape , it must be said that he is an imaginative filmmaker who can see the forest for the trees .","Although Jackson does not always succeed in integrating the characters in the foreground into the exceptionally rich landscape, it has to be said that he is a fantastic filmmaker who can see the forest for the trees."
52,1,"not only does spider-man deliver , but i suspect it might deliver again and again .","Spider -Man doesn't just deliver, I guess he can always deliver."
53,1,it 's worth taking the kids to .,It's worth the kids.
54,0,"without shakespeare 's eloquent language , the update is dreary and sluggish .","Without Shakespeare's eloquent language, the update is gloomy and dull."
55,1,"dense , exhilarating documentary .","Close, intoxicating documentary."
56,0,"... feels as if -lrb- there 's -rrb- a choke leash around your neck so director nick cassavetes can give it a good , hard yank whenever he wants you to feel something .",...It feels like -lrb - there is -rrb - a collar around your neck so Director Nick Cassavetes can give it well if he wants you to feel something.
57,1,poignant if familiar story of a young person suspended between two cultures .,striking when familiar history exposes a young person between two cultures.
58,1,"methodical , measured , and gently tedious in its comedy , secret ballot is a purposefully reductive movie -- which may be why it 's so successful at lodging itself in the brain .","Methodically, measured and mildly tiring in its comedy, secret ballots are a deliberately reductive film, which is why it is so successful to accommodate itself in the brain."
59,1,"though a touch too arthouse 101 in its poetic symbolism , heaven proves to be a good match of the sensibilities of two directors .","Although a touch of arthouse 101 is in its poetic symbolism, the sky is a good example of the sensibilities of two directors."
60,1,superbly photographed and staged by mendes with a series of riveting set pieces the likes of which mainstream audiences have rarely seen .,excellent photographed and staged by Mendes with a series of captivating set pieces that the mainstream audience has rarely seen.
61,1,a metaphor for a modern-day urban china searching for its identity .,a metaphor for a modern urban China that seeks its identity.
62,1,"it 's a square , sentimental drama that satisfies , as comfort food often can .","It is a square, sentimental drama that satisfies as comfort food can often."
63,1,"the wonderfully lush morvern callar is pure punk existentialism , and ms. ramsay and her co-writer , liana dognini , have dramatized the alan warner novel , which itself felt like an answer to irvine welsh 's book trainspotting .","The wonderfully luxurious morvern callar is pure punk existentialism, and Ms. Ramsay and her co -author Liana Dognini have dramatized the Alan Warner novel, which itself as an answer to Irvine Welsh's book training."
64,1,"admirers of director abel ferrara may be relieved that his latest feature , r xmas , marks a modest if encouraging return to form .","Admirers of director Abel Ferrara may be relieved that his latest feature, r xmas, is a modest, if encouraging return to form."
65,0,"not once in the rush to save the day did i become very involved in the proceedings ; to me , it was just a matter of ` eh . '","Not even in the rush to save the day, I got very involved in the process; for me it was only a matter of ``eh'."
66,0,an ugly-duckling tale so hideously and clumsily told it feels accidental .,"An ugly, dozens of stories told so horribly and helplessly just happen to feel like it."
67,0,becomes a bit of a mishmash : a tearjerker that does n't and a thriller that wo n't .,becomes a bit like a mixing mask: a teapot that does not make and a thriller that does not.
68,1,could i have been more geeked when i heard that apollo 13 was going to be released in imax format ?,Would I have gotten more geek than I heard Apollo 13 is published in Imax format?
69,1,"this is a very ambitious project for a fairly inexperienced filmmaker , but good actors , good poetry and good music help sustain it .","This is a very ambitious project for a rather inexperienced filmmaker, but good actors, good poetry and good music help to get it."
70,0,"more successful at relating history than in creating an emotionally complex , dramatically satisfying heroine","more successful in history than in creating an emotionally complex, dramatically satisfying heroin"
71,1,cho 's timing is priceless .,Cho's timing is priceless.
72,1,criminal conspiracies and true romances move so easily across racial and cultural lines in the film that it makes my big fat greek wedding look like an apartheid drama .,"Criminal conspiracies and true romances move so easily across racial and cultural boundaries in the film that my big, fat Greek wedding looks like an apartheid drama."
73,1,there 's something to be said for a studio-produced film that never bothers to hand viewers a suitcase full of easy answers .,There is something to be said for a studio -produced film that never bothers to give viewers a suitcase full of simple answers.
74,1,what elevates the movie above the run-of-the-mill singles blender is its surreal sense of humor and technological finish .,What raises the film about the all -round mixer is its surreal sense of humor and technological finish.
75,1,nicholson 's understated performance is wonderful .,Nicholson's understated performance is wonderful.
76,1,"the filmmakers know how to please the eye , but it is not always the prettiest pictures that tell the best story .","The filmmakers know how to like the eye, but it's not always the most beautiful pictures that tell the best story."
77,0,"it 's unfortunate that wallace , who wrote gibson 's braveheart as well as the recent pearl harbor , has such an irrepressible passion for sappy situations and dialogue .","It is unfortunate that Wallace, who wrote Gibson's brave heart, as well as the last Pearl Harbor, has such an unshakeable passion for juicy situations and dialogue."
78,0,"jackson shamefully strolls through this mess with a smug grin , inexplicably wearing a kilt and carrying a bag of golf clubs over one shoulder .","Jackson walks shamelessly through this chaos with a smug grin, inexplicably carrying a kilt and carrying a bag of golf clubs over his shoulder."
79,0,"... a fascinating curiosity piece -- fascinating , that is , for about ten minutes .","...a fascinating curiosity, fascinating, that is, for about ten minutes."
80,0,over and over again .,over and over.
81,1,nolan proves that he can cross swords with the best of them and helm a more traditionally plotted popcorn thriller while surrendering little of his intellectual rigor or creative composure .,"nolan proves that he can cross swords with the best of them and control a traditional popcorn thriller, while delivering little of his intellectual rigor or creative serenity."
82,0,"this bond film goes off the beaten path , not necessarily for the better .","This Bond film goes from the outset, not necessarily for the better."
83,0,... its solemn pretension prevents us from sharing the awe in which it holds itself .,...Her solemn presumption prevents us from sharing the reverence she holds in.
84,0,the drama discloses almost nothing .,The drama reveals almost nothing.
85,0,"a sham construct based on theory , sleight-of-hand , and ill-wrought hypothesis .","a fictional construct based on theory, pocket -playing tricks and misguided hypothesis."
86,1,isabelle huppert excels as the enigmatic mika and anna mouglalis is a stunning new young talent in one of chabrol 's most intense psychological mysteries .,Isabelle honks excellently because the enigmatic Mika and Anna Mouglalis are an amazing new talent in one of the most intense psychological secrets of Chabrol.
87,1,"like its parade of predecessors , this halloween is a gory slash-fest .","Like his predecessor parade, this Halloween is a bloody freak show."
88,1,perhaps the best sports movie i 've ever seen .,Maybe the best sports movie I've ever seen.
89,0,this pathetic junk is barely an hour long .,This pitiful garbage is barely an hour long.
90,1,"ou 've got to love a disney pic with as little cleavage as this one has , and a heroine as feisty and principled as jane .","You have to love a Disney picture with as little cleavage as this one, and a hero as brave and principled as Jane."
91,1,"this is a gorgeous film - vivid with color , music and life .","This is a beautiful film with color, music and life."
92,1,playing a role of almost bergmanesque intensity ... bisset is both convincing and radiant .,plays a role of almost bergmanesque intensity...bisset is both convincing and radiant.
93,0,the trappings of i spy are so familiar you might as well be watching a rerun .,The trappings of I spy are so familiar you might as well see a repeat.
94,1,it treats ana 's journey with honesty that is tragically rare in the depiction of young women in film .,"It deals with Ana's journey with honesty, which is tragically rare in depicting young women in film."
95,1,leigh makes these lives count .,Leigh makes these lives count.
96,1,"ambitious , unsettling psychodrama that takes full , chilling advantage of its rough-around-the-edges , low-budget constraints .","An ambitious, disturbing psychodrama that is full and dilutes the advantage of its harsh boundary conditions, low budget constraints."
97,1,"the woodman seems to have directly influenced this girl-meets-girl love story , but even more reassuring is how its makers actually seem to understand what made allen 's romantic comedies so pertinent and enduring .","The woodsman seems to have directly influenced this girl -meets -girl love story, but even more reassuring is how his makers actually seem to understand what has made Allen's romantic comedies so relevant and lasting."
98,1,i could n't recommend this film more .,I can't recommend this movie anymore.
99,0,"an inexperienced director , mehta has much to learn .","an inexperienced director, mehta has a lot to learn."
100,0,"you can taste it , but there 's no fizz .","You can taste it, but there's no fizz."
101,0,a reworking of die hard and cliffhanger but it 's nowhere near as exciting as either .,a post -processing of the hard and cliffhanger but it is not nearly as exciting as either.
102,1,"a moving tale of love and destruction in unexpected places , unexamined lives .","a moving history of love and destruction in unexpected places, not exploring life."
103,1,it has more than a few moments that are insightful enough to be fondly remembered in the endlessly challenging maze of moviegoing .,It has more than a few moments that are sensitive enough to be lovingly remembered in the endless challenging maze of Moviegoing.
104,0,why ?,Why?
105,0,and that is where ararat went astray .,And then Ararat went astray.
106,1,vincent gallo is right at home in this french shocker playing his usual bad boy weirdo role .,Vincent Gallo is at home in this French shocker and plays his evil role as a bad boy.
107,0,"clockstoppers is one of those crazy , mixed-up films that does n't know what it wants to be when it grows up .",Clocktoppers is one of those crazy mixed movies that don't know what they want to be when they grow up.
108,0,"sandra bullock , despite downplaying her good looks , carries a little too much ai n't - she-cute baggage into her lead role as a troubled and determined homicide cop to quite pull off the heavy stuff .","Sandra Bullock, despite her good looks, wears a little too much ai n't... She --cute luggage in her leading role as a concerned and determined homicide cop to pull off the heavy stuff."
109,1,it 's mostly a pleasure to watch .,It's usually a pleasure to see.
110,1,its spirit of iconoclastic abandon -- however canned -- makes for unexpectedly giddy viewing .,"His spirit of iconoclastic abandonment, however preserved, provides an unexpectedly dizzying view."
111,0,"a kilted jackson is an unsettling sight , and indicative of his , if you will , out-of-kilter character , who rambles aimlessly through ill-conceived action pieces .","A dead jackson is a disturbing sight and indicative of his, if you will, out -kilter character running aimlessly through poorly designed action pieces."
112,0,i did n't find much fascination in the swinging .,I didn't find much fascination in swinging.
113,0,this is no `` waterboy ! '',That's not a water boy.
114,1,"but the nerve-raked acting , the crackle of lines , the impressive stagings of hardware , make for some robust and scary entertainment .","But the nerve -inducing actions, the bending of lines, the impressive gestures of hardware, make for something robust and scary entertainment."
115,1,baby-faced renner is eerily convincing as this bland blank of a man with unimaginable demons within .,"Child -faced racer is incredibly convincing, as this blank blank of a man with unimaginable demons in."
116,1,the kind of primal storytelling that george lucas can only dream of .,The kind of original story George Lucas can only dream of.
117,1,"uplifting as only a document of the worst possibilities of mankind can be , and among the best films of the year .","as just a document of humanity's worst possibilities, and among the best movies of the year."
118,0,the irwins ' scenes are fascinating ; the movie as a whole is cheap junk and an insult to their death-defying efforts .,The Irwins' scenes are fascinating; the film as a whole is cheap trash and an insult to their death -defying efforts.
119,0,"it 's a frightful vanity film that , no doubt , pays off what debt miramax felt they owed to benigni .",It's a terrible vanity movie that no doubt pays off the debts miramax gutgni owed.
120,0,"he seems to want both , but succeeds in making neither .","He seems to want both, but he can't."
121,1,"by turns fanciful , grisly and engagingly quixotic .","by alternating fanciful, grilisty and engagingly quixotic."
122,1,"the re-release of ron howard 's apollo 13 in the imax format proves absolutely that really , really , really good things can come in enormous packages .","The re -release of Ron Howard's apollo 13 in Imax format absolutely proves that really, really, really good things can come in huge packages."
123,0,"i 've never seen -lrb- a remake -rrb- do anything as stomach-turning as the way adam sandler 's new movie rapes , pillages and incinerates frank capra 's classic ...","I've never seen a remake of Adam Sandler raping, pillaging and burning the classic Frank Capra."
124,1,those who want to be jolted out of their gourd should drop everything and run to ichi .,Those who want to be pulled out of their pumpkins should drop everything and follow me.
125,1,"mr. deeds is , as comedy goes , very silly -- and in the best way .","Mr. Actions is, as the comedy goes, very stupid and in the best way."
126,1,"this amiable picture talks tough , but it 's all bluster -- in the end it 's as sweet as greenfingers ...","This lovely picture speaks hard, but it's all bluish, in the end it's as sweet as green fingers."
127,1,my little eye is the best little `` horror '' movie i 've seen in years .,My little eye is the best little horror movie I've seen in years.
128,0,"the movie is a negligible work of manipulation , an exploitation piece doing its usual worst to guilt-trip parents .","The film is a negligible work of manipulation, an exploitative piece that does its usual bad to guilty parents."
129,1,it may ... work as a jaunt down memory lane for teens and young adults who grew up on televised scooby-doo shows or reruns .,It could... work as a trip into the past for young people and young adults who have grown up on TV shows or reruns.
130,0,suffers from a flat script and a low budget .,suffers from a flat script and a low budget.
131,0,"the movie is well done , but slow .","The film is well made, but slowly."
132,0,the master of disguise is awful .,The master of disguise is terrible.
133,1,the film is one of the year 's best .,The film is one of the best.
134,1,one of the year 's most weirdly engaging and unpredictable character pieces .,one of the strangely captivating and unpredictable features of the year.
135,0,"the direction occasionally rises to the level of marginal competence , but for most of the film it is hard to tell who is chasing who or why .","The direction occasionally rises to the level of marginal competence, but for most of the film it is difficult to say who is following who or why."
136,0,"the three leads produce adequate performances , but what 's missing from this material is any depth of feeling .","The three leads produce adequate performances, but what is lacking in this material is every depth of feeling."
137,0,"`` looking for leonard '' just seems to kinda sit in neutral , hoping for a stiff wind to blow it uphill or something .","""Looking for Leonard"" just seems to be sitting in a neutral position, hoping for a stiff wind to blow him up or something."
138,0,the most surprising thing about this film is that they are actually releasing it into theaters .,The most surprising thing about this film is that they actually publish it in cinemas.
139,0,... one resurrection too many .,...One resurrection too many.
140,1,"oh , look at that clever angle !","Oh, look at that bright angle!"
141,0,"no , i hate it .","No, I hate it."
142,1,"for a long time the film succeeds with its dark , delicate treatment of these characters and its unerring respect for them .","For a long time the film succeeds with its dark, delicate treatment of these characters and its genuine respect for them."
143,1,the casting of raymond j. barry as the ` assassin ' greatly enhances the quality of neil burger 's impressive fake documentary .,The casting of Raymond J. Barry as ``assassin''increases the quality of Neil Burger's impressive fake documentary.
144,0,"the film is like sitting in a downtown café , overhearing a bunch of typical late-twenty-somethings natter on about nothing , and desperately wishing you could change tables .","The movie is like sitting in a Downtown caf2333, listening to a bunch of typical gossipy things that talk about nothing, and desperately wishing you could switch tables."
145,1,"the filmmakers want nothing else than to show us a good time , and in their cheap , b movie way , they succeed .","The filmmakers want nothing more than to show us a good time, and in their cheap b -film way they succeed."
146,1,"a rollicking ride , with jaw-dropping action sequences , striking villains , a gorgeous color palette , astounding technology , stirring music and a boffo last hour that leads up to a strangely sinister happy ending .","a rolling ride with stunning action sequences, striking villains, an amazing palette of colors, amazing technology, moving music and a boffo final hour leading to a strangely dark happy ending."
147,1,an hour and a half of joyful solo performance .,an hour and a half cheerful solo performance.
148,0,contrived pastiche of caper clichés .,Built pastries by caper clich233s.
149,1,"a triumph , a film that hews out a world and carries us effortlessly from darkness to light .","a triumph, a film that cuts out a world and brings us effortlessly from darkness to light."
150,1,"steven soderbergh 's digital video experiment is a clever and cutting , quick and dirty look at modern living and movie life .",Steven Soderbergh's digital video experiment is a clever and cutting -edge view of modern life and film life.
151,1,kinnear 's performance is a career-defining revelation .,kinnear's performance is a career definition revelation.
152,1,"not only a reminder of how they used to make movies , but also how they sometimes still can be made .","not only a reminder of how they made movies, but also how they can sometimes be made again."
153,1,the dragons are the real stars of reign of fire and you wo n't be disappointed .,"Dragons are the true stars of the Fire, and you will not be disappointed."
154,0,"if you 're over 25 , have an iq over 90 , and have a driver 's license , you should be able to find better entertainment .","If you have more than 25, have an iq over 90, and have a license, you should be able to find better entertainment."
155,1,"for devotees of french cinema , safe conduct is so rich with period minutiae it 's like dying and going to celluloid heaven .","For the followers of French cinema, safe behavior is as time -consuming as it is to die and go to cellular heaven."
156,0,"scherfig , who has had a successful career in tv , tackles more than she can handle .","Sharp, who has had a successful television career, attacks more than she is able."
157,0,"this sade is hardly a perverse , dangerous libertine and agitator -- which would have made for better drama .","This sade is hardly a perverse, dangerous libertarian and agitator, which would have led to a better drama."
158,1,"by the end of the movie , you 're definitely convinced that these women are spectacular .","At the end of the film, you are definitely convinced that these women are spectacular."
159,0,"... a plotline that 's as lumpy as two-day old porridge ... the filmmakers ' paws , sad to say , were all over this `` un-bear-able '' project !","...A plot as clumsy as a two -day brew. The filmmakers''paws', sad to say, were everywhere in this ``````````````bear -capable''project!"
160,0,the modern-day royals have nothing on these guys when it comes to scandals .,The modern Royals have nothing against these guys when it comes to scandal.
161,0,essentially `` fatal attraction '' remade for viewers who were in diapers when the original was released in 1987 .,"Essentially ""fatal attraction"" remade for viewers who were in diapers when the original was published in 1987."
162,0,"it does n't really know or care about the characters , and uses them as markers for a series of preordained events .",it does not really know or care about the characters and uses them as a marker for a number of predetermined events.
163,0,` opening up ' the play more has partly closed it down .,` opens'the piece more has partially closed it.
164,1,"even though it 's common knowledge that park and his founding partner , yong kang , lost kozmo in the end , you ca n't help but get caught up in the thrill of the company 's astonishing growth .","Although it is common knowledge that Park and its founding partner Yong Kang lost Kozmo in the end, you cannot help but interfere in the nerve endings of the company's amazing growth."
165,0,"lots of effort and intelligence are on display but in execution it is all awkward , static , and lifeless rumblings .","a lot of effort and intelligence are on the display, but in the execution it is all embarrassing, static, and lifeless rumbling."
166,1,"every moment crackles with tension , and by the end of the flick , you 're on the edge of your seat .","Every moment trembles with excitement, and at the end of the patch, you're at the edge of your seat."
167,1,the imax screen enhances the personal touch of manual animation .,the Imax screen strengthens the personal touch of manual animation.
168,0,coal is n't as easy to come by as it used to be and this would be a worthy substitute for naughty children 's stockings .,Coal is not as easy to find as it used to be and that would be a worthy substitute for untreated children's stockings.
169,0,as pedestrian as they come .,"as pedestrians, as they come."
170,0,"why , you may ask , why should you buy the movie milk when the tv cow is free ?",Why buy the film milk when the TV cow is free?
171,0,"sunk by way too much indulgence of scene-chewing , teeth-gnashing actorliness .","sunk by far too much indulgence of scene chewing, tooth -grinding acting."
172,1,that 's fun for kids of any age .,It's fun for kids of all ages.
173,1,raimi and his team could n't have done any better in bringing the story of spider-man to the big screen .,Raimi and his team couldn't have done better to put Spider -Man's story on the big screen.
174,1,"a colorful , joyous celebration of life ; a tapestry woven of romance , dancing , singing , and unforgettable characters .","a colorful, joyful celebration of life; a tapestry of romance, dancing, singing and unforgettable characters."
175,1,a rip-roaring comedy action fest that 'll put hairs on your chest .,A ripping comedy feast that puts hair on your chest.
176,1,the premise of jason x is silly but strangely believable .,"Jason x's premise is silly, but strangely believable."
177,0,the modern-day characters are nowhere near as vivid as the 19th-century ones .,The modern characters are not nearly as vivid as those of the 19th century.
178,0,chelsea walls is a case of too many chefs fussing over too weak a recipe .,Chelsea Walls is a case of too many chefs merging over too weak a recipe.
179,1,"the cast ... keeps this pretty watchable , and casting mick jagger as director of the escort service was inspired .","The crew... keeps them pretty vigilant, and the casting Mick Jagger as director of the Escort Service was inspired."
180,0,"-lrb- the kid 's -rrb- just too bratty for sympathy , and as the film grows to its finale , his little changes ring hollow .","-lrb --the boy's rrb -- just too cheeky for sympathy, and as the movie grows to its final, its little changes sound hollow."
181,1,contradicts everything we 've come to expect from movies nowadays .,contradicts everything we expected from films today.
182,1,"there is little question that this is a serious work by an important director who has something new to say about how , in the flip-flop of courtship , we often reel in when we should be playing out .","There is hardly any question that this is a serious work by an important director who has something new to say, as we should often play in the flip -flop of courship."
183,0,the script has less spice than a rat burger and the rock 's fighting skills are more in line with steven seagal .,The script has less spice than a rat burger and the fighting skills of the rock correspond more to Steven Seagal.
184,1,the solid filmmaking and convincing characters makes this a high water mark for this genre .,The solid filmmakers and convincing characters make this a high watermark for this genre.
185,1,"the kind of movie that comes along only occasionally , one so unconventional , gutsy and perfectly executed it takes your breath away .","The kind of film that only occasionally appears, performed so unconventionally, kindly and perfectly, takes your breath away."
186,1,"with an admirably dark first script by brent hanley , paxton , making his directorial feature debut , does strong , measured work .","with an admirable dark first script by Brent Hanley, paxton, makes his directing feature debut, does strong, measured work."
187,1,"funny , somber , absurd , and , finally , achingly sad , bartleby is a fine , understated piece of filmmaking .","Funny, dark, absurd, and finally, painfully sad, Bartleby is a fine, underrated piece of filmmaking."
188,0,"every now and again , a movie comes along to remind us of how very bad a motion picture can truly be .",Sometimes a movie comes along to remind us how bad a movie can really be.
189,0,"unfortunately , there is almost nothing in this flat effort that will amuse or entertain them , either .","Unfortunately, there is almost nothing in this flat work that would amuse or entertain them, either."
190,1,schrader examines crane 's decline with unblinking candor .,schrrader investigates the decline of the crane with the greatest openness.
191,1,that the e-graveyard holds as many good ideas as bad is the cold comfort that chin 's film serves up with style and empathy .,"that the E -graveyard holds as many good ideas as bad, is the cold comfort that the film of chin combines with style and empathy."
192,1,"you would n't want to live waydowntown , but it is a hilarious place to visit .","You do not want to live in the city centre, but it is a fun place to visit."
193,1,"the bai brothers have taken an small slice of history and opened it up for all of us to understand , and they 've told a nice little story in the process .","The Bai brothers took a little piece of history and opened it for all of us to understand, and they told a nice little story in the process."
194,0,there 's not one decent performance from the cast and not one clever line of dialogue .,there is no decent performance of the cast and not a clever line of dialogue.
195,0,translation : ` we do n't need to try very hard . ',Translation: ` we don't have to work very hard.'
196,1,"return to never land is reliable , standard disney animated fare , with enough creative energy and wit to entertain all ages .","back to never land is reliable, standard disney animated fare with enough creative energy and wit to entertain all age groups."
197,0,"it sticks rigidly to the paradigm , rarely permitting its characters more than two obvious dimensions and repeatedly placing them in contrived , well-worn situations .","It holds firmly to the paradigm, rarely allows its signs to be more than two obvious dimensions and repeatedly places them in imaginary, well -worn situations."
198,1,caine makes us watch as his character awakens to the notion that to be human is eventually to have to choose .,Caine lets us watch his character wake up to have the idea of being human means ultimately choosing.
199,1,a captivating and intimate study about dying and loving ...,a captivating and intimate study of death and love...
200,0,"oversexed , at times overwrought comedy\/drama that offers little insight into the experience of being forty , female and single .","sexexed, sometimes over -stressed comedy \\\\ Drama, which offers little insight into the experience, forty, female and single."
201,1,the world needs more filmmakers with passionate enthusiasms like martin scorsese .,The world needs more filmmakers with passionate enthusiasm like Martin Scorsese.
202,0,the director seems to take an unseemly pleasure in -lrb- the characters ' -rrb- misery and at the same time to congratulate himself for having the guts to confront it .,The director seems to have an immeasurable pleasure in -lrb -the characters'-rrb'-miserable and at the same time congratulate himself for having the courage to confront them.
203,1,the history is fascinating ; the action is dazzling .,The story is fascinating; the plot is dazzling.
204,1,"the unexpected thing is that its dying , in this shower of black-and-white psychedelia , is quite beautiful .",The unexpected thing is that his death in this shower of black and white psychedelia is very beautiful.
205,0,i also believe that resident evil is not it .,I also believe that the resident is not evil.
206,1,offers a clear-eyed chronicle of a female friendship that is more complex and honest than anything represented in a hollywood film .,offers a clear chronicle of a female friendship that is more complex and honest than anything depicted in a Hollywood movie.
